id,vurdering,type,navn,område,koordinater,begrundelse,vurderet,kategorier,score,antal_objekter,tæt_på_spot,auto_koordinater,osm,osm_status,fundet
k-way294806020,,,Hellerup Dameroklub,Hellerup,,,,flydebro roklub bro havn sejlklub slæbested,7.5,20,,"55.7309300, 12.5817572",way/294806020 way/294806021 node/3224322121 node/3224322122 node/2983664760 way/294806017 way/294806019 way/294806022 way/294806024 way/313116014 way/316320970 way/316320971 way/429845231 way/458883894 way/466652246 way/466652247 way/466652248 way/466652249 way/466674293 way/660433573,ok,2026-09-24
k-way316892515,,,Præstø Roklub,Præstø,,,,flydebro roklub badebro badested bro slæbested,7.5,11,,"55.1258594, 12.0463822",way/316892515 way/219448685 node/13920811450 node/3918456477 way/119423311 way/119423312 way/385183898 way/385183899 way/385183902 way/385184806 way/388678455,ok,2026-09-24
k-way597957445,,,Havnebadet Fisketorvet,Kødbyen,,,,flydebro badebro havnebad badested udlejning bro,7.5,9,,"55.6628012, 12.5643225",way/597957445 node/11360249114 relation/8383128 node/3300693732 way/597957446 way/597957447 way/597957448 way/325038416 way/967297395,ok,2026-09-24
k-way87398463,,,Vedbæk Sydstrand,Vedbæk,,,,flydebro badebro badested bro sejlklub slæbested,7.5,5,,"55.8484405, 12.5720014",way/87398463 node/13994534303 node/3052468060 way/151784666 way/25563234,ok,2026-09-24
k-node11139470918,,,Green Kayak,Nordhavn,,,,kajakklub badebro vinterbad badested bro sejlklub slæbested,7.0,9,,"55.7180848, 12.5880841",node/11139470918 node/7477652061 node/11789627164 node/1864241350 way/175841570 way/609539126 way/609539127 way/609539128 way/609539129,ok,2026-09-24
k-node12462905430,lovende,flydebro,Sølystparken,Sandmark,"56.1758946, 9.5338910",Offentlig park med badested: lille flydebro ved stranden og stor træbro/platform ca. 50 m mod vest. Sø med læ. Grønt vand tæt på land kan betyde lavt vand/planter – tjek dybden.,2026-09-24,flydebro badebro badested bro slæbested,7.0,7,,"56.1758976, 9.5338695",node/12462905430 way/1347302178 node/13979833817 node/1849109593 way/464708191 way/464708198 way/464708200,ok,2026-09-24
k-node12512348349,på kortet,,Esbjerg Roklub,Strandby,,,,flydebro kajakklub roklub bro havn,7.0,10,spot-14,"55.4816464, 8.4116250",node/12512348349 way/1132500306 way/694018126 way/694018127 way/694018128 way/694018130 node/4157898868 way/1288411512 node/746332826 way/1251321550,ok,2026-09-24
k-node12567483519,på kortet,,Horsens Kajakklub,Næsset,,,,flydebro kajakklub roklub bro slæbested,7.0,16,horsens-kajakklub,"55.8588766, 9.8751963",node/12567483519 node/3227932053 way/316649713 way/316649714 way/616331214 way/316649710 way/1472381927 way/1472381928 way/1472381929 way/316649711 way/316649712 way/40983755 way/616331209 way/616331211 way/616331215 way/616331217,ok,2026-09-24
k-node2902713463,,,Nykøbing Mors Roklub,Nykøbing Mors,,,,flydebro roklub badebro badested bro,7.0,6,,"56.7946082, 8.8798183",node/2902713463 way/286592751 way/219351341 node/13919713045 way/1245777753 way/166097595,ok,2026-09-24
k-relation8450762,,,Sluseholmen Havnebad,Ørestad,,,,flydebro badebro havnebad badested bro,7.0,9,,"55.6465955, 12.5539448",relation/8450762 way/608190748 way/141641313 way/1112214390 way/111585365 way/608190713 way/608190726 way/918516692 way/918516693,ok,2026-09-24
k-way1002341571,,,Servicekaj,Bogense,,,,flydebro bro havn sejlklub slæbested,7.0,16,,"55.5656712, 10.0791978",way/1002341571 way/1002341572 way/1002341573 node/2870329926 way/1002341546 way/1002341547 way/1002341548 way/1002341549 way/1002341550 way/1002341551 way/1002341552 way/1002345130 way/140319253 way/173540315 way/253813604 way/253813606,ok,2026-09-24
k-way1080011705,,,Ribe Roklub,Ribe,,,,flydebro roklub bro havn slæbested,7.0,4,,"55.3315797, 8.7579591",way/1080011705 node/9899600564 way/59990175 way/59990169,ok,2026-09-24
k-way111685002,på kortet,,Roskilde Fjords Kajakklub,Veddelev,,,,flydebro kajakklub bro havn slæbested,7.0,9,spot-10,"55.6781993, 12.0698279",way/111685002 way/325345072 node/3320142648 node/1390724818 way/111934414 way/291804999 way/325345073 way/43308596 way/567647108,ok,2026-09-24
k-way1155990367,,,myKayak,Christianshavn,,,,flydebro badebro badested udlejning bro,7.0,5,,"55.6710336, 12.5783058",way/1155990367 node/1146193476 node/9945685341 way/128320238 way/920683598,ok,2026-09-24
k-way1461788304,lovende,flydebro,Bryrup Søbad,Bryrup,"56.0204355, 9.5169792","Bryrup Søbad/vinterbad ved Kvindsø: flydebro i bue (58 m) og en separat flydebro (18 m). Rolig sø med mørkt, dybt vand ud for broerne.",2026-09-24,flydebro badebro vinterbad badested bro,7.0,3,,"56.0205434, 9.5170221",way/1461788304 way/1461788664 node/13979862012,ok,2026-09-24
k-way150201609,,,Dragør Roklub,Dragør,,,,flydebro roklub bro sejlklub slæbested,7.0,14,,"55.5949269, 12.6747931",way/150201609 way/158292616 way/158292622 way/158292625 way/308553577 node/3717597282 node/3717597283 node/3717597285 node/3717597286 node/3726133425 node/8595397756 way/150201598 way/151647858 way/316319467,ok,2026-09-24
k-way210460299,på kortet,,Roklubben Furesø,Farum,,,,flydebro roklub vinterbad bro havn,7.0,12,vinterbadeklubben-furesoe,"55.8029409, 12.3879220",way/210460299 way/210460301 way/210460307 way/210460308 way/210460310 node/2290451515 node/5163379132 node/719419925 node/1506837903 way/210460296 way/625779445 way/904030701,ok,2026-09-24
k-way228644759,,,Høruphav Ro- og Kajakklub,Høruphav,,,,flydebro kajakklub roklub bro slæbested,7.0,9,,"54.9075808, 9.8909530",way/228644759 way/228644758 node/450656977 way/38236315 way/38236316 way/38236318 way/38236320 way/837256150 way/918186264,ok,2026-09-24
k-way228645443,,,Kollund Roklub,Kollund Strand,,,,flydebro roklub bro havn slæbested,7.0,4,,"54.8372804, 9.4454284",way/228645443 node/2373037313 node/11782380988 node/1313600483,ok,2026-09-24
